BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
"ACCEL Motorcycle",ACC181101,181101,"ACCEL MOTORCYCLE STPLITE SWCH",0,22.83576,28.62000
"ACCEL Motorcycle",ACC181102,181102,"ACCEL MOTORCYCLE OIL PRES.SW",0,23.87422,29.78307
"ACCEL Motorcycle",ACC181103,181103,"ACCEL MOTORCYCLE OIL PRES.SW",0,23.87422,29.55460
"ACCEL Motorcycle",ACC181104,181104,"ACCEL MOTORCYCLE OIL PRES.SW",0,20.75883,25.81615
"ACCEL Motorcycle",ACC192300,192300,"ACCEL MOTORCYCLE GEN BRUSH SET",0,34.25883,38.41268
"ACCEL Motorcycle",ACC192303,192303,"ACCEL MOTORCYCLE GENERATOR KIT",0,49.83576,56.06653
"ACCEL Motorcycle",ACC2001BB,2001BB,"ACCEL MOTORCYCLE EXH WRAP BULK 1X50' BLK""",0,79.95115,101.42653
"ACCEL Motorcycle",ACC2001BK,2001BK,"ACCEL MOTORCYCLE EXHAUST WRAP 1X50' BLACK""",0,83.06653,104.97807
"ACCEL Motorcycle",ACC2001BM,2001BM,"ACCEL MOTORCYCLE MATRIX WRAP BULK 1X50'""",0,82.02807,103.38922
"ACCEL Motorcycle",ACC2001BT,2001BT,"ACCEL MOTORCYCLE EXH WRAP BULK 1X50' TAN""",0,70.60500,89.49460
"ACCEL Motorcycle",ACC2001MW,2001MW,"ACCEL MOTORCYCLE MATRIX WRAP 1X50'""",0,103.83576,131.25115
"ACCEL Motorcycle",ACC2001TA,2001TA,"ACCEL MOTORCYCLE EXHAUST WRAP 1X50""TAN""",0,94.48960,119.25691
"ACCEL Motorcycle",ACC2002BB,2002BB,"ACCEL MOTORCYCLE EXH WRAP BULK 2X25'""",0,76.83576,97.43883
"ACCEL Motorcycle",ACC2002BK,2002BK,"ACCEL MOTORCYCLE EXHAUST WRAP KIT-2X25'""",0,89.29730,112.78730
"ACCEL Motorcycle",ACC2002BM,2002BM,"ACCEL MOTORCYCLE MATRIX WRAP BULK 2X25'""",0,82.02807,103.38922
"ACCEL Motorcycle",ACC2002BT,2002BT,"ACCEL MOTORCYCLE EXH WRAP BULK 2X25' TAN""",0,67.48960,85.48615
"ACCEL Motorcycle",ACC2002MW,2002MW,"ACCEL MOTORCYCLE MATRIX WRAP 2X25'""",0,103.83576,131.25115
"ACCEL Motorcycle",ACC2002TA,2002TA,"ACCEL MOTORCYCLE EXHAUST WRAP KIT-2X25'""",0,82.02807,103.38922
"ACCEL Motorcycle",ACC2007BK,2007BK,"ACCEL MOTORCYCLE SLEEVING KIT-BLACK",0,48.79730,61.62230
"ACCEL Motorcycle",ACC2007BL,2007BL,"ACCEL MOTORCYCLE SLEEVING KIT-BLUE",0,48.79730,61.62230
"ACCEL Motorcycle",ACC2007CH,2007CH,"ACCEL MOTORCYCLE SLEEVING KIT-CHROME",0,63.33576,79.52538
"ACCEL Motorcycle",ACC2007CR,2007CR,"ACCEL MOTORCYCLE SLEEVING KIT-CARBON",0,48.79730,61.62230
